Date,Open,High,Low,Close,Adj Close,Volume
2023-02-17,259.390015,260.089996,256.000000,258.059998,255.498428,30000100
2023-02-21,254.479996,255.490005,251.589996,252.669998,250.161911,28397400
2023-02-22,254.089996,254.339996,250.339996,251.509995,249.013443,22491100
2023-02-23,255.559998,256.839996,250.479996,254.770004,252.241089,29219100
2023-02-24,249.960007,251.000000,248.100006,249.220001,246.746170,24990900
2023-02-27,252.460007,252.820007,249.389999,250.160004,247.676834,21190000
2023-02-28,249.070007,251.490005,248.729996,249.419998,246.944168,22491000
2023-03-01,250.759995,250.929993,245.789993,246.270004,243.825455,27565300
2023-03-02,246.550003,251.399994,245.610001,251.110001,248.617416,24808200
2023-03-03,252.190002,255.619995,251.389999,255.289993,252.755905,30760100
2023-03-06,256.429993,260.119995,255.979996,256.869995,254.320221,24109800
2023-03-07,256.299988,257.690002,253.389999,254.149994,251.627228,21473200
2023-03-08,254.039993,254.539993,250.809998,253.699997,251.181686,17340200
2023-03-09,255.820007,259.559998,251.580002,252.320007,249.815399,26653400
2023-03-10,251.080002,252.789993,247.600006,248.589996,246.122421,28333900
2023-03-13,247.399994,257.910004,245.729996,253.919998,251.399506,33339700
2023-03-14,256.750000,261.070007,255.860001,260.790009,258.201324,33620300
2023-03-15,259.980011,266.480011,259.209991,265.440002,262.805145,46028000
2023-03-16,265.209991,276.559998,263.279999,276.200012,273.458374,54768800
2023-03-17,278.260010,283.329987,276.320007,279.429993,276.656250,69527400
2023-03-20,276.980011,277.480011,269.850006,272.230011,269.527771,43466600
2023-03-21,274.880005,275.000000,269.519989,273.779999,271.062378,34558700
2023-03-22,273.399994,281.040009,272.179993,272.290009,269.587158,34873300
2023-03-23,277.940002,281.059998,275.200012,277.660004,274.903900,36610900
2023-03-24,277.239990,280.630005,275.279999,280.570007,277.785004,28172000
2023-03-27,280.500000,281.459991,275.519989,276.380005,273.636597,26840200
2023-03-28,275.790009,276.140015,272.049988,275.230011,272.498016,21878600
2023-03-29,278.959991,281.140015,278.410004,280.510010,277.725555,25087000
2023-03-30,284.230011,284.459991,281.480011,284.049988,281.230438,25053400
2023-03-31,283.730011,289.269989,283.000000,288.299988,285.438232,32766000
2023-04-03,286.519989,288.269989,283.950012,287.230011,284.378906,24883300
2023-04-04,287.230011,290.450012,285.670013,287.179993,284.329346,25824300
2023-04-05,285.850006,287.149994,282.920013,284.339996,281.517548,22064800
2023-04-06,283.209991,292.079987,282.029999,291.600006,288.705475,29770300
2023-04-10,289.209991,289.600006,284.709991,289.390015,286.517456,23103000
2023-04-11,285.750000,285.980011,281.640015,282.829987,280.022552,27276600
2023-04-12,284.790009,287.010010,281.959991,283.489990,280.676025,27403400
2023-04-13,283.589996,289.899994,283.170013,289.839996,286.962952,24222700
2023-04-14,287.000000,288.480011,283.690002,286.140015,283.299744,20987900
2023-04-17,289.929993,291.600006,286.160004,288.799988,285.933289,23836200
2023-04-18,291.570007,291.760010,287.010010,288.369995,285.507538,20161800
2023-04-19,285.989990,289.049988,284.540009,288.450012,285.586792,17150300
2023-04-20,285.250000,289.029999,285.079987,286.109985,283.270020,23244400
2023-04-21,285.010010,286.269989,283.059998,285.760010,282.923523,21676400
2023-04-24,282.089996,284.950012,278.720001,281.769989,278.973022,26611000
2023-04-25,279.510010,281.600006,275.369995,275.420013,272.686096,45772200
2023-04-26,296.700012,299.570007,292.730011,295.369995,292.438080,64599200
2023-04-27,295.970001,305.200012,295.250000,304.829987,301.804169,46462600
2023-04-28,304.010010,308.929993,303.309998,307.260010,304.210052,36446700
2023-05-01,306.970001,308.600006,305.149994,305.559998,302.526947,21294100
2023-05-02,307.760010,309.179993,303.910004,305.410004,302.378418,26404400
